Date,F,ADS,ESCA,BGFV,NKE,PEP,TTWO
7/15/2020,6.74,43.78,13.85,2.81,98.54,133.69,151.28
7/16/2020,6.86,44.23,13.92,2.98,97.26,133.88,150.31
7/17/2020,6.8,42.51,14.04,3.14,96.28,134.66,150.58
7/20/2020,6.66,40.12,13.57,3.62,95.65,133.11,154.7
7/21/2020,6.68,42.27,15.25,3.57,98.36,134.43,153.06
7/22/2020,6.84,42.57,15.45,4.34,98.91,136.01,154.05
7/23/2020,6.98,44.76,15.45,4.01,98.3,137.08,151.48
7/24/2020,6.88,44.41,15.2,4.41,98.43,136.06,156.02
7/27/2020,6.93,43.86,14.97,4.59,97.21,137.67,159.24
7/28/2020,7.01,43.02,14.91,4.47,96.27,137.38,156.41
7/29/2020,6.92,45.43,15.26,6.58,96.97,137.93,157.82
7/30/2020,6.74,44.5,15.67,5.66,96.82,137.69,159.56
7/31/2020,6.61,44.36,15.35,5.6,97.61,137.66,164.02
8/3/2020,6.69,44.94,15.56,5.49,98.33,136.7,167.69
8/4/2020,6.86,43.54,16.04,5.54,97.33,137.47,177.52
8/5/2020,6.96,45.33,15.95,5.94,100.94,136.25,176.02
8/6/2020,6.93,45.3,17.5,6.22,100.45,135.86,177.34
8/7/2020,6.86,46.15,17.55,7.81,101.86,136.74,174.96
8/10/2020,7.09,47.29,18.46,7.51,105.41,135.98,174.73
8/11/2020,7.23,48.91,18.23,6.69,105.12,135.12,167.11
8/12/2020,7.11,47.84,18.6,6.55,105.22,137.8,168.11
8/13/2020,7.03,47.11,18.69,6.42,106.52,138.1,171.28
8/14/2020,7.04,47.84,18.49,6.65,106.43,137.56,173.41
8/17/2020,6.98,47.01,18.51,6.48,105.66,137.92,175.21
8/18/2020,6.89,45.28,18.6,6.24,106.97,138.11,176.98
8/19/2020,6.87,45.62,18.49,6.71,108.39,136.45,172.63
8/20/2020,6.84,43.51,18.34,6.81,108.01,136.72,174.43
8/21/2020,6.66,43.19,18.37,6.25,109.75,136.46,173.14
8/24/2020,6.98,45.59,18.49,6.07,111.83,137.64,172.55
8/25/2020,6.94,45.97,18.42,5.98,111.51,137.3,173.02
8/26/2020,6.82,44.92,18.61,6.85,111.53,138.47,175.39
8/27/2020,6.91,46.51,18.36,6.27,110.84,138.4,172.67
8/28/2020,6.94,46.95,18.36,6.31,112.29,139.94,171.06
8/31/2020,6.82,45.11,18.13,5.91,111.89,140.06,171.19
9/1/2020,6.83,45.19,18.57,6,114.84,139.19,172.5
9/2/2020,6.95,46.07,19.21,6.01,116.8,143.29,172.83
9/3/2020,6.82,45.31,18,5.68,112.85,139.37,166.6
9/4/2020,6.9,48.11,17.98,5.72,112.4,138.76,161.71
9/8/2020,7.03,46.67,17.11,5.45,112.72,135.55,156.22
9/9/2020,6.97,45.65,17.65,5.69,114.9,137.11,158.59
9/10/2020,6.91,45.23,17.48,6.1,114.79,134.76,154.32
9/11/2020,7,45.25,17.18,6.08,118,135.81,153.53
9/14/2020,7.12,46.33,18.12,5.6,119.28,136.67,156.48
9/15/2020,7.04,44.36,18.27,5.81,119.27,135.62,160.59
9/16/2020,7.02,47.05,18.34,5.86,118.59,134.98,157.07
9/17/2020,7.28,47.5,18.23,6.28,116.36,133.2,159.45
9/18/2020,7.23,46.37,18.12,6.77,114.66,131.47,158.49
9/21/2020,6.87,45.1,18.28,6.38,113.37,131.24,164.34
9/22/2020,6.78,43.64,19.69,6.14,116.87,132.15,166.22
9/23/2020,6.64,41.97,20.17,6.14,127.11,131,162.31
9/24/2020,6.66,42.32,17.59,5.73,124.75,131.58,163.29
